_id,ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,geotypevalue,geoname,county_name,county_fips,region_name,region_code,numerator,Households,Gini_index,LL_95CI,UL_95CI,se,rse,CA_decile,CA_RR,Median_HH_income,Median_HH_decile,version
1,556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CA,06,California,,,,,,12577498,0.468,0.465617021276596,0.470382978723404,0.00121580547112462,0.259787493830047,,,,,2014-03-26 09:50:34
2,556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CA,06,California,,,,,,12577498,0.469,0.467808510638298,0.470191489361702,0.00060790273556231,0.129616787966377,,,,,2014-03-26 09:50:34
3,556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2008-2010,9,Total,CA,06,California,,,,,,12577498,0.471,0.468617021276596,0.473382978723404,0.00121580547112462,0.258132796417117,,,,,2014-03-26 09:50:34
4,556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06001,Alameda,Alameda,06001,Bay Area,01,,545138,0.455,0.449042553191489,0.460957446808511,0.00303951367781155,0.668024984134407,,0.972222222222222,66430,3,2014-03-26 09:50:34
5,556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06003,Alpine,Alpine,06003,Central/Southeast Sierra,03,,497,,,,,,,,,,2014-03-26 09:50:34
6,556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06005,Amador,Amador,06005,Central/Southeast Sierra,03,,14569,0.409,0.378021276595745,0.439978723404255,0.0158054711246201,3.86441836787777,,0.873931623931624,57522,4,2014-03-26 09:50:34
7,556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06007,Butte,Butte,06007,Butte,02,,87618,0.45,0.440468085106383,0.459531914893617,0.00486322188449848,1.080715974333,,0.961538461538461,40011,9,2014-03-26 09:50:34
8,556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06009,Calaveras,Calaveras,06009,Central/Southeast Sierra,03,,18886,0.396,0.367404255319149,0.424595744680851,0.0145896656534954,3.68425900340794,,0.846153846153846,54356,5,2014-03-26 09:50:34
9,556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06011,Colusa,Colusa,06011,Northern Sacramento Valley,07,,7056,0.44,0.401872340425532,0.478127659574468,0.0194528875379939,4.42111080408953,,0.94017094017094,42398,8,2014-03-26 09:50:34
10,556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06013,Contra Costa,Contra Costa,06013,Bay Area,01,,375364,0.449,0.443042553191489,0.454957446808511,0.00303951367781155,0.676951821338875,,0.959401709401709,75483,1,2014-03-26 09:50:34
11,556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06015,Del Norte,Del Norte,06015,North Coast,05,,9907,0.444,0.413021276595745,0.474978723404255,0.0158054711246201,3.55979079383335,,0.948717948717949,33173,10,2014-03-26 09:50:34
12,556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06017,El Dorado,El Dorado,06017,Sacramento Area,08,,70223,0.434,0.419702127659574,0.448297872340426,0.00729483282674772,1.68083705685431,,0.927350427350427,68640,2,2014-03-26 09:50:34
